Undergrade CGPA,IELTS or TOEFL,GRE,Conference Paper,Journal Paper,Job Experience(Years),Class
3.42,99,317,2,0,5,4
3.42,99,317,2,0,5,4
3.74,94,304,2,0,0.6,4
3.57,109,0,3,0,0.4,4
3.3,93,306,2,1,5,4
3.3,93,306,2,1,5,2
3.13,94,308,1,0,2,2
3.13,94,308,1,0,2,2
3.53,82,304,1,0,0,2
3.82,99,308,1,0,0,3
3.84,107,326,0,0,0,1
3.84,107,326,0,0,0,1
3.84,107,326,0,0,0,2
3.84,107,326,0,0,0,2
3.84,107,326,0,0,0,2
3.84,107,326,0,0,0,1
3.84,107,326,0,0,0,2
3.6,84,314,5,1,0,2
3.6,84,314,5,1,0,3
3.49,93,303,0,0,2.5,3
3.67,114,327,1,0,0.9,2
3.67,114,327,1,0,0.9,2
3.67,114,327,1,0,0.9,1
3.59,115,334,1,0,3,2
3.93,108,320,0,0,0.8,1
3.52,109,319,0,0,1,1
3.52,109,319,0,0,1,1
3.52,109,319,0,0,1,3
3.52,109,319,0,0,1,2
3.5,114,314,0,0,0.95,3
3.5,114,314,0,0,0.95,4
3.64,114,334,5,1,2,2
3.78,108,309,6,0,2,2
3.78,108,309,6,0,2,4
3.78,108,309,6,0,2,2
3.78,108,309,6,0,2,2
3.62,81,323,2,0,3,3
3.62,81,323,2,0,3,2
3.81,82,317,2,0,3,2
3.4,103,330,2,0,2,2
3.4,103,330,2,0,2,2
3.4,103,330,2,0,2,1
3.87,109,298,0,0,4,2
3.87,109,298,0,0,4,2
3.87,109,298,0,0,4,2
3.87,109,298,0,0,4,2
3.08,100,315,0,0,3,2
3.08,100,315,0,0,3,1
3.08,100,315,0,0,3,4
3.08,100,315,0,0,3,3
3.08,100,315,0,0,3,3
3.08,100,315,0,0,3,2
3.08,100,315,0,0,3,4
3.38,113,311,0,0,2,1
3.38,113,311,0,0,2,2
3.75,101,0,3,1,0.6,1
3.75,101,0,3,1,0.6,1
3.75,101,0,3,1,0.6,1
3.59,103,0,0,1,2,2
3.59,103,0,0,1,2,3
3.59,103,0,0,1,2,3
3.59,103,0,0,1,2,2
3.59,103,0,0,1,2,2
3.57,93,306,4,1,25,2
3.57,93,306,4,1,25,1
3.57,93,306,4,1,25,4
3.14,105,307,8,0,0.7,3
3.14,105,307,8,0,0.7,3
3.14,105,307,8,0,0.7,4
3.43,101,300,0,0,0.8,3
3.43,101,300,0,0,0.8,1
3.75,109,318,3,0,0,1
3.46,84,301,1,2,3,3
3.46,84,301,1,2,3,2
3.46,84,301,1,2,3,3
3.63,109,319,1,0,3,2
3.63,109,319,1,0,3,4
3.62,108,320,1,0,0,3
3.62,108,320,1,0,0,3
3.3,109,305,0,0,0.7,2
3.29,90,315,2,3,1.5,4
3.29,90,315,2,3,1.5,4
3.52,98,306,1,1,0,4
3.62,101,313,6,0,2.5,4
3.62,101,313,6,0,2.5,3
3.62,101,313,6,0,2.5,3
3.62,101,313,6,0,2.5,3
3.11,86,318,0,0,0,1
3.11,86,318,0,0,0,3
3.11,86,318,0,0,0,3
3.11,86,318,0,0,0,3
3.11,86,318,0,0,0,4
3.61,105,304,7,3,2,4
3.84,107,326,0,0,0,2
3.84,107,326,0,0,0,2
3.84,107,326,0,0,0,1
3.84,107,326,0,0,0,2
3.6,84,314,5,1,0,2
3.6,84,314,5,1,0,3
3.49,93,303,0,0,2.5,3
3.67,114,327,1,0,0.9,2
3.67,114,327,1,0,0.9,2
3.67,114,327,1,0,0.9,1
3.59,115,334,1,0,3,2
3.93,108,320,0,0,0.8,1
3.52,109,319,0,0,1,1
3.52,109,319,0,0,1,1
3.52,109,319,0,0,1,3
3.52,109,319,0,0,1,2
3.5,114,314,0,0,0.95,3
3.5,114,314,0,0,0.95,4
3.64,114,334,5,1,2,2
3.78,108,309,6,0,2,2
3.78,108,309,6,0,2,4
3.78,108,309,6,0,2,2
